,Survived,Pclass,Sex,Age,Fare,Embarked,Deck
0,0,3,1,22.0,7.25,2,False
1,1,1,0,38.0,71.2833,0,1
2,1,3,0,26.0,7.925,2,False
3,1,1,0,35.0,53.1,2,1
4,0,3,1,35.0,8.05,2,False
5,0,3,1,30.0,8.4583,1,False
6,0,1,1,54.0,51.8625,2,1
7,0,3,1,2.0,21.075,2,False
8,1,3,0,27.0,11.1333,2,False
9,1,2,0,14.0,30.0708,0,False
10,1,3,0,4.0,16.7,2,1
11,1,1,0,58.0,26.55,2,1
12,0,3,1,20.0,8.05,2,False
13,0,3,1,39.0,31.275,2,False
14,0,3,0,14.0,7.8542,2,False
15,1,2,0,55.0,16.0,2,False
16,0,3,1,2.0,29.125,1,False
17,1,2,1,30.0,13.0,2,False
18,0,3,0,31.0,18.0,2,False
19,1,3,0,30.0,7.225,0,False
20,0,2,1,35.0,26.0,2,False
21,1,2,1,34.0,13.0,2,1
22,1,3,0,15.0,8.0292,1,False
23,1,1,1,28.0,35.5,2,1
24,0,3,0,8.0,21.075,2,False
25,1,3,0,38.0,31.3875,2,False
26,0,3,1,30.0,7.225,0,False
27,0,1,1,19.0,263.0,2,3
28,1,3,0,30.0,7.8792,1,False
29,0,3,1,30.0,7.8958,2,False
30,0,1,1,40.0,27.7208,0,False
31,1,1,0,30.0,146.5208,0,1
32,1,3,0,30.0,7.75,1,False
33,0,2,1,66.0,10.5,2,False
34,0,1,1,28.0,82.1708,0,False
35,0,1,1,42.0,52.0,2,False
36,1,3,1,30.0,7.2292,0,False
37,0,3,1,21.0,8.05,2,False
38,0,3,0,18.0,18.0,2,False
39,1,3,0,14.0,11.2417,0,False
40,0,3,0,40.0,9.475,2,False
41,0,2,0,27.0,21.0,2,False
42,0,3,1,30.0,7.8958,0,False
43,1,2,0,3.0,41.5792,0,False
44,1,3,0,19.0,7.8792,1,False
45,0,3,1,30.0,8.05,2,False
46,0,3,1,30.0,15.5,1,False
47,1,3,0,30.0,7.75,1,False
48,0,3,1,30.0,21.6792,0,False
49,0,3,0,18.0,17.8,2,False
50,0,3,1,7.0,39.6875,2,False
51,0,3,1,21.0,7.8,2,False
52,1,1,0,49.0,76.7292,0,1
53,1,2,0,29.0,26.0,2,False
54,0,1,1,65.0,61.9792,0,1
55,1,1,1,30.0,35.5,2,1
56,1,2,0,21.0,10.5,2,False
57,0,3,1,28.5,7.2292,0,False
58,1,2,0,5.0,27.75,2,False
59,0,3,1,11.0,46.9,2,False
60,0,3,1,22.0,7.2292,0,False
61,1,1,0,38.0,80.0,-1,1
62,0,1,1,45.0,83.475,2,1
63,0,3,1,4.0,27.9,2,False
64,0,1,1,30.0,27.7208,0,False
65,1,3,1,30.0,15.2458,0,False
66,1,2,0,29.0,10.5,2,1
67,0,3,1,19.0,8.1583,2,False
68,1,3,0,17.0,7.925,2,False
69,0,3,1,26.0,8.6625,2,False
70,0,2,1,32.0,10.5,2,False
71,0,3,0,16.0,46.9,2,False
72,0,2,1,21.0,73.5,2,False
73,0,3,1,26.0,14.4542,0,False
74,1,3,1,32.0,56.4958,2,False
75,0,3,1,25.0,7.65,2,2
76,0,3,1,30.0,7.8958,2,False
77,0,3,1,30.0,8.05,2,False
78,1,2,1,0.83,29.0,2,False
79,1,3,0,30.0,12.475,2,False
80,0,3,1,22.0,9.0,2,False
81,1,3,1,29.0,9.5,2,False
82,1,3,0,30.0,7.7875,1,False
83,0,1,1,28.0,47.1,2,False
84,1,2,0,17.0,10.5,2,False
85,1,3,0,33.0,15.85,2,False
86,0,3,1,16.0,34.375,2,False
87,0,3,1,30.0,8.05,2,False
88,1,1,0,23.0,263.0,2,3
89,0,3,1,24.0,8.05,2,False
90,0,3,1,29.0,8.05,2,False
91,0,3,1,20.0,7.8542,2,False
92,0,1,1,46.0,61.175,2,1
93,0,3,1,26.0,20.575,2,False
94,0,3,1,59.0,7.25,2,False
95,0,3,1,30.0,8.05,2,False
